"team_side","batting_order","batter_id","batter_name","expected_pa","expected_hits","expected_bb","expected_hbp","expected_k","expected_hr","expected_xbh","expected_tb","expected_runs","expected_rbi","expected_sb","expected_cs","expected_sf","expected_gdp","prob_1plus_hit","prob_2plus_hit","prob_1plus_hr","prob_1plus_xbh","prob_2plus_tb","prob_1plus_run","prob_1plus_rbi","prob_1plus_sb","game_id","game_date","team","opponent","model_version","generated_at_utc"
"away",1,669242,"Tommy Edman",4.952,1.132,0.356,0.388,1.064,0.136,0.4,1.856,0.8,0.52,0.14,0,0.068,0.088,0.732,0.304,0.128,0.344,0.452,0.564,0.368,0.136,"824465","2026-09-14","Los Angeles Dodgers","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-15 00:48:57 UTC"
"away",2,605141,"Mookie Betts",4.86,1.108,0.352,0.044,0.592,0.236,0.44,2.02,0.624,0.688,0.048,0.004,0.056,0.12,0.72,0.296,0.216,0.384,0.464,0.496,0.408,0.048,"824465","2026-09-14","Los Angeles Dodgers","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-15 00:48:57 UTC"
"away",3,669257,"Will Smith",4.724,0.884,0.64,0.12,0.788,0.168,0.308,1.536,0.604,0.552,0.036,0.008,0.06,0.096,0.62,0.236,0.168,0.272,0.356,0.468,0.332,0.036,"824465","2026-09-14","Los Angeles Dodgers","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-15 00:48:57 UTC"
"away",4,663656,"Kyle Tucker",4.636,0.984,0.62,0.072,0.784,0.1,0.332,1.576,0.628,0.548,0.076,0.008,0.068,0.104,0.688,0.248,0.096,0.292,0.388,0.484,0.372,0.072,"824465","2026-09-14","Los Angeles Dodgers","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-15 00:48:57 UTC"
"away",5,606192,"Teoscar Hernández",4.528,1.18,0.408,0.048,1.072,0.172,0.388,1.956,0.608,0.72,0.052,0.004,0.04,0.084,0.732,0.324,0.168,0.336,0.452,0.492,0.4,0.052,"824465","2026-09-14","Los Angeles Dodgers","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-15 00:48:57 UTC"
"away",6,500743,"Miguel Rojas",4.432,0.916,0.312,0.08,0.608,0.1,0.34,1.464,0.46,0.524,0.044,0,0.08,0.076,0.632,0.24,0.092,0.276,0.364,0.364,0.372,0.044,"824465","2026-09-14","Los Angeles Dodgers","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-15 00:48:57 UTC"
"away",7,571970,"Max Muncy",4.304,1.064,0.524,0.1,1.092,0.24,0.48,2.04,0.704,0.756,0.064,0.012,0.024,0.064,0.704,0.284,0.224,0.396,0.488,0.504,0.408,0.056,"824465","2026-09-14","Los Angeles Dodgers","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-15 00:48:57 UTC"
"away",8,571771,"Enrique Hernández",4.168,0.932,0.356,0.048,1.048,0.184,0.388,1.72,0.564,0.656,0.06,0.008,0.044,0.064,0.648,0.208,0.176,0.34,0.392,0.448,0.38,0.06,"824465","2026-09-14","Los Angeles Dodgers","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-15 00:48:57 UTC"
"away",9,800543,"Josue De Paula",4.04,0.844,0.324,0.1,0.872,0.128,0.344,1.484,0.5,0.528,0.064,0.016,0.056,0.064,0.612,0.204,0.12,0.28,0.364,0.4,0.348,0.064,"824465","2026-09-14","Los Angeles Dodgers","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-15 00:48:57 UTC"
"home",1,667472,"Dane Myers",4.432,0.852,0.364,0.032,1.34,0.048,0.216,1.172,0.428,0.212,0.12,0.008,0.028,0.044,0.62,0.192,0.048,0.208,0.312,0.356,0.176,0.116,"824465","2026-09-14","Cincinnati Reds","Los Angeles Dodgers","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-15 00:48:57 UTC"
"home",2,682829,"Elly De La Cruz",4.34,1.124,0.312,0.012,1.368,0.176,0.48,2,0.496,0.536,0.152,0.056,0.028,0.056,0.708,0.332,0.172,0.392,0.48,0.4,0.348,0.148,"824465","2026-09-14","Cincinnati Reds","Los Angeles Dodgers","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-15 00:48:57 UTC"
"home",3,701398,"Sal Stewart",4.256,0.904,0.348,0.012,1.124,0.16,0.336,1.56,0.392,0.484,0.084,0.004,0.036,0.048,0.604,0.232,0.152,0.304,0.384,0.344,0.308,0.084,"824465","2026-09-14","Cincinnati Reds","Los Angeles Dodgers","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-15 00:48:57 UTC"
"home",4,663886,"Tyler Stephenson",4.148,0.848,0.384,0.012,1.252,0.076,0.328,1.328,0.356,0.38,0.024,0.004,0.032,0.032,0.62,0.192,0.076,0.296,0.352,0.292,0.268,0.024,"824465","2026-09-14","Cincinnati Reds","Los Angeles Dodgers","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-15 00:48:57 UTC"
"home",5,553993,"Eugenio Suárez",4.064,0.604,0.396,0.04,1.668,0.164,0.304,1.236,0.36,0.392,0.02,0.004,0.02,0.036,0.468,0.12,0.14,0.26,0.296,0.28,0.248,0.02,"824465","2026-09-14","Cincinnati Reds","Los Angeles Dodgers","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-15 00:48:57 UTC"
"home",6,682877,"Juan Brito",3.968,0.764,0.3,0.072,1.024,0.116,0.264,1.268,0.3,0.412,0.048,0.012,0.032,0.064,0.58,0.156,0.116,0.236,0.312,0.28,0.284,0.048,"824465","2026-09-14","Cincinnati Reds","Los Angeles Dodgers","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-15 00:48:57 UTC"
"home",7,668709,"JJ Bleday",3.844,0.676,0.264,0.004,1.244,0.144,0.264,1.244,0.32,0.32,0.032,0.016,0.008,0.048,0.524,0.128,0.128,0.224,0.268,0.284,0.196,0.032,"824465","2026-09-14","Cincinnati Reds","Los Angeles Dodgers","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-15 00:48:57 UTC"
"home",8,663647,"Ke'Bryan Hayes",3.716,0.592,0.164,0.064,0.856,0.076,0.192,0.94,0.304,0.272,0.028,0.008,0.04,0.064,0.468,0.108,0.076,0.188,0.24,0.256,0.196,0.028,"824465","2026-09-14","Cincinnati Reds","Los Angeles Dodgers","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-15 00:48:57 UTC"
